Date,close,prediction,confidence,predicted_return,signal,position_size
2024-04-15,172.69000244140625,0,0.13476078,-0.03,HOLD,0.0
2024-04-16,169.3800048828125,0,0.4399802,-0.03,HOLD,0.0
2024-04-17,168.0,1,0.91116184,0.03,BUY,0.012334855198860168
2024-04-18,167.0399932861328,1,0.9908827,0.03,BUY,0.014726480841636656
2024-04-19,165.0,1,0.9631021,0.03,BUY,0.013893063068389892
2024-04-22,165.83999633789062,1,0.96101946,0.03,BUY,0.013830583691596985
2024-04-23,166.89999389648438,1,0.9190125,0.03,BUY,0.012570374608039855
2024-04-24,169.02000427246094,1,0.93766314,0.03,BUY,0.013129894137382506
2024-04-25,169.88999938964844,1,0.8415403,0.03,BUY,0.010246208310127259
2024-04-26,169.3000030517578,1,0.92504245,0.03,BUY,0.01275127351284027
2024-04-29,173.5,1,0.8233315,0.03,BUY,0.009699944257736206
2024-04-30,170.3300018310547,1,0.9724672,0.03,BUY,0.014174015522003173
2024-05-01,169.3000030517578,1,0.97667545,0.03,BUY,0.01430026352405548
2024-05-02,173.02999877929688,1,0.8290263,0.03,BUY,0.00987078845500946
2024-05-03,183.3800048828125,0,0.09611398,-0.03,HOLD,0.0
2024-05-06,181.7100067138672,1,0.9145456,0.03,BUY,0.012436367869377137
2024-05-07,182.39999389648438,1,0.9142242,0.03,BUY,0.012426726222038269
2024-05-08,182.74000549316406,1,0.95422256,0.03,BUY,0.01362667679786682
2024-05-09,184.57000732421875,1,0.9097389,0.03,BUY,0.012292166948318481
2024-05-10,183.0500030517578,1,0.9077578,0.03,BUY,0.01223273456096649
2024-05-13,186.27999877929688,1,0.86377645,0.03,BUY,0.010913293361663818
2024-05-14,187.42999267578125,1,0.81419,0.03,BUY,0.009425699114799499
2024-05-15,189.72000122070312,1,0.5983468,0.03,HOLD,0.0
2024-05-16,189.83999633789062,0,0.036753815,-0.03,HOLD,0.0
2024-05-17,189.8699951171875,1,0.6638935,0.03,BUY,0.004916805624961853
2024-05-20,191.0399932861328,0,0.038025387,-0.03,HOLD,0.0
2024-05-21,192.35000610351562,0,0.052397687,-0.03,HOLD,0.0
2024-05-22,190.89999389648438,1,0.86376053,0.03,BUY,0.010912815928459167
2024-05-23,186.8800048828125,1,0.958416,0.03,BUY,0.013752479553222655
2024-05-24,189.97999572753906,1,0.90481496,0.03,BUY,0.01214444875717163
2024-05-28,189.99000549316406,1,0.9327827,0.03,BUY,0.012983481287956237
2024-05-29,190.2899932861328,1,0.52233714,0.03,HOLD,0.0
2024-05-30,191.2899932861328,1,0.67302424,0.03,BUY,0.005190727114677429
2024-05-31,192.25,1,0.66567016,0.03,BUY,0.004970104694366455
2024-06-03,194.02999877929688,0,0.014936418,-0.03,HOLD,0.0
2024-06-04,194.35000610351562,0,0.48625305,-0.03,HOLD,0.0
2024-06-05,195.8699951171875,1,0.58120286,0.03,HOLD,0.0
2024-06-06,194.47999572753906,1,0.77621603,0.03,BUY,0.008286480903625488
2024-06-07,196.88999938964844,1,0.7746157,0.03,BUY,0.008238471150398254
2024-06-10,193.1199951171875,1,0.912001,0.03,BUY,0.01236003041267395
2024-06-11,207.14999389648438,1,0.6631576,0.03,BUY,0.0048947274684906
2024-06-12,213.07000732421875,0,0.0164358,-0.03,HOLD,0.0
2024-06-13,214.24000549316406,0,0.02480563,-0.03,HOLD,0.0
2024-06-14,212.49000549316406,0,0.020254487,-0.03,HOLD,0.0
2024-06-17,216.6699981689453,0,0.02058335,-0.03,HOLD,0.0
2024-06-18,214.2899932861328,0,0.03248654,-0.03,HOLD,0.0
2024-06-20,209.67999267578125,1,0.86302507,0.03,BUY,0.010890752077102661
2024-06-21,207.49000549316406,1,0.9553246,0.03,BUY,0.013659737706184387
2024-06-24,208.13999938964844,1,0.95405287,0.03,BUY,0.013621585965156554
2024-06-25,209.07000732421875,1,0.9687064,0.03,BUY,0.014061192870140075
2024-06-26,213.25,1,0.9713675,0.03,BUY,0.014141024351119994
2024-06-27,214.10000610351562,1,0.9552841,0.03,BUY,0.013658523559570312
2024-06-28,210.6199951171875,1,0.949485,0.03,BUY,0.01348455011844635
2024-07-01,216.75,1,0.9886129,0.03,BUY,0.014658386707305907
2024-07-02,220.27000427246094,1,0.9958205,0.03,BUY,0.014874615669250487
2024-07-03,221.5500030517578,1,0.9578911,0.03,BUY,0.013736733198165893
2024-07-05,226.33999633789062,1,0.9626478,0.03,BUY,0.01387943387031555
2024-07-08,227.82000732421875,1,0.9658401,0.03,BUY,0.013975203037261963
2024-07-09,228.67999267578125,1,0.9325945,0.03,BUY,0.012977834343910217
2024-07-10,232.97999572753906,0,0.09124358,-0.03,HOLD,0.0
2024-07-11,227.57000732421875,0,0.01320832,-0.03,HOLD,0.0
2024-07-12,230.5399932861328,0,0.02879438,-0.03,HOLD,0.0
2024-07-15,234.39999389648438,0,0.017474491,-0.03,HOLD,0.0
2024-07-16,234.82000732421875,0,0.018661257,-0.03,HOLD,0.0
2024-07-17,228.8800048828125,0,0.024773609,-0.03,HOLD,0.0
2024-07-18,224.17999267578125,0,0.043339398,-0.03,HOLD,0.0
2024-07-19,224.30999755859375,0,0.062654145,-0.03,HOLD,0.0
2024-07-22,223.9600067138672,0,0.07383488,-0.03,HOLD,0.0
2024-07-23,225.00999450683594,0,0.091026336,-0.03,HOLD,0.0
2024-07-24,218.5399932861328,1,0.9491582,0.03,BUY,0.013474745750427246
2024-07-25,217.49000549316406,1,0.9794994,0.03,BUY,0.014384981989860534
2024-07-26,217.9600067138672,1,0.9289812,0.03,BUY,0.012869435548782348
2024-07-29,218.24000549316406,0,0.106937274,-0.03,HOLD,0.0
2024-07-30,218.8000030517578,0,0.043205276,-0.03,HOLD,0.0
2024-07-31,222.0800018310547,0,0.019371327,-0.03,HOLD,0.0
2024-08-01,218.36000061035156,0,0.030909803,-0.03,HOLD,0.0
2024-08-02,219.86000061035156,0,0.049302008,-0.03,HOLD,0.0
2024-08-05,209.27000427246094,1,0.8905134,0.03,BUY,0.011715402603149414
2024-08-06,207.22999572753906,1,0.9757179,0.03,BUY,0.014271537065505982
2024-08-07,209.82000732421875,1,0.98029137,0.03,BUY,0.014408740997314453
2024-08-08,213.30999755859375,1,0.91006976,0.03,BUY,0.012302092909812927
2024-08-09,216.24000549316406,1,0.9677987,0.03,BUY,0.014033961296081542
2024-08-12,217.52999877929688,1,0.96497434,0.03,BUY,0.013949230313301086
2024-08-13,221.27000427246094,1,0.93791974,0.03,BUY,0.013137592077255249
2024-08-14,221.72000122070312,1,0.97021717,0.03,BUY,0.014106515049934387
2024-08-15,224.72000122070312,0,0.048955724,-0.03,HOLD,0.0
2024-08-16,226.0500030517578,1,0.9588282,0.03,BUY,0.013764846324920654
2024-08-19,225.88999938964844,1,0.9135684,0.03,BUY,0.01240705132484436
2024-08-20,226.50999450683594,1,0.9150905,0.03,BUY,0.012452715039253234
2024-08-21,226.39999389648438,1,0.91196424,0.03,BUY,0.012358927130699157
2024-08-22,224.52999877929688,1,0.88391984,0.03,BUY,0.011517595052719116
2024-08-23,226.83999633789062,1,0.87669146,0.03,BUY,0.01130074381828308
2024-08-26,227.17999267578125,0,0.049305484,-0.03,HOLD,0.0
2024-08-27,228.02999877929688,0,0.046017352,-0.03,HOLD,0.0
2024-08-28,226.49000549316406,0,0.011713637,-0.03,HOLD,0.0
2024-08-29,229.7899932861328,0,0.010588237,-0.03,HOLD,0.0
2024-08-30,229.0,0,0.008402149,-0.03,HOLD,0.0
2024-09-03,222.77000427246094,0,0.01524165,-0.03,HOLD,0.0
2024-09-04,220.85000610351562,1,0.9207038,0.03,BUY,0.01262111485004425
2024-09-05,222.3800048828125,1,0.85852486,0.03,BUY,0.010755745768547058
2024-09-06,220.82000732421875,1,0.92712575,0.03,BUY,0.012813772559165954
2024-09-09,220.91000366210938,0,0.017229063,-0.03,HOLD,0.0
2024-09-10,220.11000061035156,0,0.020710014,-0.03,HOLD,0.0
2024-09-11,222.66000366210938,0,0.02589904,-0.03,HOLD,0.0
2024-09-12,222.77000427246094,1,0.694748,0.03,BUY,0.005842439532279968
2024-09-13,222.5,1,0.775535,0.03,BUY,0.00826604962348938
2024-09-16,216.32000732421875,1,0.80590487,0.03,BUY,0.009177145957946777
2024-09-17,216.7899932861328,1,0.7236205,0.03,BUY,0.0067086142301559445
2024-09-18,220.69000244140625,1,0.83727735,0.03,BUY,0.01011832058429718
2024-09-19,228.8699951171875,0,0.049876105,-0.03,HOLD,0.0
2024-09-20,228.1999969482422,0,0.045289945,-0.03,HOLD,0.0
2024-09-23,226.47000122070312,1,0.8701974,0.03,BUY,0.01110592246055603
2024-09-24,227.3699951171875,0,0.017523147,-0.03,HOLD,0.0
2024-09-25,226.3699951171875,1,0.8480906,0.03,BUY,0.010442717671394347
2024-09-26,227.52000427246094,0,0.025267998,-0.03,HOLD,0.0
2024-09-27,227.7899932861328,0,0.020677753,-0.03,HOLD,0.0
2024-09-30,233.0,0,0.01605733,-0.03,HOLD,0.0
2024-10-01,226.2100067138672,0,0.01238508,-0.03,HOLD,0.0
2024-10-02,226.77999877929688,1,0.89183104,0.03,BUY,0.011754931211471557
2024-10-03,225.6699981689453,1,0.837401,0.03,BUY,0.010122029185295105
2024-10-04,226.8000030517578,1,0.91883904,0.03,BUY,0.012565171122550964
2024-10-07,221.69000244140625,1,0.9860299,0.03,BUY,0.014580897688865661
2024-10-08,225.77000427246094,1,0.96709377,0.03,BUY,0.014012812972068786
2024-10-09,229.5399932861328,1,0.9646863,0.03,BUY,0.013940588235855101
2024-10-10,229.0399932861328,1,0.88117296,0.03,BUY,0.0114351886510849
2024-10-11,227.5500030517578,1,0.8013527,0.03,BUY,0.00904058039188385
2024-10-14,231.3000030517578,1,0.9517529,0.03,BUY,0.013552587032318115
2024-10-15,233.85000610351562,1,0.9008155,0.03,BUY,0.012024464607238768
2024-10-16,231.77999877929688,0,0.06420852,-0.03,HOLD,0.0
2024-10-17,232.14999389648438,0,0.048291422,-0.03,HOLD,0.0
2024-10-18,235.0,0,0.01761314,-0.03,HOLD,0.0
2024-10-21,236.47999572753906,0,0.010705569,-0.03,HOLD,0.0
2024-10-22,235.86000061035156,0,0.009208322,-0.03,HOLD,0.0
2024-10-23,230.75999450683594,0,0.026573673,-0.03,HOLD,0.0
2024-10-24,230.57000732421875,0,0.029533679,-0.03,HOLD,0.0
2024-10-25,231.41000366210938,0,0.018679962,-0.03,HOLD,0.0
2024-10-28,233.39999389648438,0,0.009011388,-0.03,HOLD,0.0
