Date,Adj Close,Close,High,Low,Open,Volume
2025-03-06,476.3235778808594,482.8399963378906,484.8900146484375,465.29998779296875,468.0,1695800
2025-03-07,492.87713623046875,499.6199951171875,500.2699890136719,478.2699890136719,478.2699890136719,2615900
2025-03-10,482.18341064453125,488.7799987792969,504.9800109863281,480.54998779296875,497.6199951171875,2174100
2025-03-11,469.0826416015625,475.5,488.5400085449219,472.7099914550781,483.95001220703125,1492200
2025-03-12,465.00836181640625,471.3699951171875,476.6199951171875,463.2099914550781,474.989990234375,1679800
2025-03-13,460.7861633300781,467.0899963378906,480.0,465.5,473.5400085449219,1314500
2025-03-14,471.0556640625,477.5,481.32000732421875,470.45001220703125,471.8699951171875,1018000
2025-03-17,475.8402099609375,482.3500061035156,486.0799865722656,475.510009765625,477.3299865722656,893000
2025-03-18,474.6761474609375,481.1700134277344,486.0400085449219,478.94000244140625,482.1300048828125,931700
2025-03-19,472.9398498535156,479.4100036621094,482.82000732421875,477.17999267578125,478.760009765625,841700
2025-03-20,470.5821228027344,477.0199890136719,480.5400085449219,468.0899963378906,476.0,1153400
2025-03-21,466.0540771484375,472.42999267578125,475.70001220703125,468.29998779296875,473.6000061035156,1685000
2025-03-24,473.4824523925781,479.9599914550781,483.2300109863281,474.1600036621094,476.6400146484375,903800
2025-03-25,472.46636962890625,478.92999267578125,482.1600036621094,477.1499938964844,481.7099914550781,808200
2025-03-26,477.0930480957031,483.6199951171875,484.8900146484375,477.17999267578125,481.4700012207031,811200
2025-03-27,473.2456970214844,479.7200012207031,490.5799865722656,478.80999755859375,481.9100036621094,1193200
2025-03-28,459.0301513671875,465.30999755859375,479.54998779296875,462.75,477.5899963378906,1183600
2025-03-31,464.63330078125,469.3500061035156,472.8999938964844,458.3800048828125,460.760009765625,1496300
2025-04-01,473.641845703125,478.45001220703125,479.54998779296875,466.010009765625,469.3599853515625,1253600
2025-04-02,466.1676940917969,470.8999938964844,474.489990234375,464.7799987792969,473.44000244140625,1394700
2025-04-03,442.953369140625,447.45001220703125,463.69000244140625,446.6000061035156,456.54998779296875,2287700
2025-04-04,425.5401306152344,429.8599853515625,438.7900085449219,420.0400085449219,426.4599914550781,3609600
2025-04-07,419.0955810546875,423.3500061035156,441.0400085449219,412.29998779296875,417.1300048828125,3007400
2025-04-08,408.8396911621094,412.989990234375,435.5899963378906,406.0799865722656,433.4599914550781,1816400
2025-04-09,448.041748046875,452.5899963378906,455.6700134277344,404.4200134277344,407.7200012207031,2914700
2025-04-10,439.72613525390625,444.19000244140625,449.2300109863281,428.5299987792969,444.3599853515625,1956600
2025-04-11,454.5159912109375,459.1300048828125,463.3800048828125,441.5,444.25,1245100
2025-04-14,462.9701843261719,467.6700134277344,472.7799987792969,461.4700012207031,464.3299865722656,1283600
2025-04-15,456.6246032714844,461.260009765625,467.1300048828125,460.6499938964844,464.67999267578125,1143600
2025-04-16,447.8734436035156,452.4200134277344,461.5899963378906,448.67999267578125,458.0299987792969,1015600
2025-04-17,447.5269470214844,452.07000732421875,458.8699951171875,451.5299987792969,455.30999755859375,1044800
2025-04-21,437.12255859375,441.55999755859375,451.8599853515625,435.95001220703125,450.4200134277344,969300
2025-04-22,450.0909423828125,454.6600036621094,458.25,446.25,446.25,751600
2025-04-23,451.85302734375,456.44000244140625,471.9599914550781,454.3699951171875,462.95001220703125,1025500
2025-04-24,459.8419494628906,464.510009765625,466.510009765625,456.9700012207031,458.5199890136719,828400
2025-04-25,454.6842956542969,459.29998779296875,465.9599914550781,457.3399963378906,464.1499938964844,983400
2025-04-28,455.5752868652344,460.20001220703125,465.17999267578125,457.0799865722656,459.29998779296875,755100
2025-04-29,456.0108337402344,460.6400146484375,462.8999938964844,452.4100036621094,457.4200134277344,799600
2025-04-30,458.9014892578125,463.55999755859375,465.2900085449219,452.0,460.45001220703125,1325900
2025-05-01,475.1960754394531,480.0199890136719,485.4700012207031,464.25,465.0,1855300
2025-05-02,476.8294982910156,481.6700134277344,492.30999755859375,480.67999267578125,487.1300048828125,1108800
2025-05-05,476.5028381347656,481.3399963378906,485.20001220703125,477.25,480.57000732421875,805200
2025-05-06,470.5234680175781,475.29998779296875,481.7699890136719,475.010009765625,478.04998779296875,887700
2025-05-07,467.65264892578125,472.3999938964844,477.4100036621094,469.260009765625,475.0899963378906,1011200
2025-05-08,485.06585693359375,489.989990234375,494.19000244140625,476.510009765625,477.9100036621094,1568800
2025-05-09,487.649658203125,492.6000061035156,493.92999267578125,489.1199951171875,490.7200012207031,653500
